"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C3,C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"100n";;;
2;"C2,C5";"CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder";2;"10u";;;
3;"C6,C7,C10";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10u";;;
4;"C8,C12";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"0.1u";;;
5;"C9,C11";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1u";;;
6;"J1";"USB_Micro-B_Wuerth_629105150521";1;"USB_OTG";;;
7;"J2";"PinSocket_1x05_P2.54mm_Vertical";1;"SWD connector";;;
8;"R1,R4,R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10k";;;
9;"R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"3,9k";;;
10;"R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2,2k";;;
11;"U1";"SOT-223";1;"LM1117ADJ";;;
12;"U2";"CMWX1ZZABZ_longer_pads";1;"CMWX1ZZABZ-078";;;
